기준 년 코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
2020,2,A,골목상권,1000543,중앙로32길,4420175,8,6535279967,1601169832,782502180,450835976,794412621,1116421375,235751459,185463320,1094311850,274411354
2020,2,A,골목상권,1000542,중앙로25길,3886139,8,6785644121,1934428323,797475634,467598572,938812904,1027854275,226282621,209311538,903846237,280034017
2020,2,A,골목상권,1000541,은행정로7길,3025927,7,9819778446,2493730772,1176404899,693844654,1230321721,1629233851,372406035,288348575,1534755970,400731969
2020,2,A,골목상권,1000540,은행정로5길,3368494,7,7433157077,1853038817,880187798,508258407,911468689,1248552093,260907665,213827664,1250411977,306503967
2020,2,A,골목상권,1000539,오목로5길,2571016,6,9736683854,2486557020,1198518398,707129320,1250947648,1633622613,411868416,282397320,1361694158,403948961
2020,2,A,골목상권,1000538,오목로3길,2531670,6,9122686318,2424839862,1097885206,642492027,1207421456,1476252803,351527133,268437124,1278674716,375155991
2020,2,A,골목상권,1000537,오목로30길,2857864,6,11393231249,2959825976,1363271628,811163261,1463068916,1872661692,426036741,339129996,1691389708,466683331
2020,2,A,골목상권,1000536,오목로23길,2455645,6,9854748981,2595662493,1186877350,710685562,1291738844,1613277728,382252768,295247923,1376029295,402977018
2020,2,A,골목상권,1000535,신월로20길,2848395,6,7628544466,1940712306,947210680,553661339,970487022,1280703348,332930994,220147015,1065373279,317318483
2020,2,A,골목상권,1000534,신월로15길,2529776,6,8896084937,2213024572,1112438993,657275005,1121172736,1512686412,407839532,253758076,1250336914,367552697
2020,2,A,골목상권,1000533,신목로6길,4590201,8,10538065187,2674269266,1244443456,708303388,1302321072,1690289013,363003011,299109490,1817473484,438853007
2020,2,A,골목상권,1000532,신목로5길,5056080,9,8148775777,2055791038,965172556,546776462,1010366913,1332374810,275008747,229912217,1387446927,345926107
2020,2,A,골목상권,1000531,신목로2길,4498738,8,9408292523,2436618285,1105732848,630556068,1187819832,1490074436,317244433,268688481,1579896676,391661464
2020,2,A,골목상권,1000530,목동중앙서로8가길,4245392,8,7660787389,1861469056,921166468,534716328,912939579,1307216481,273273892,219031667,1306085156,324888762
2020,2,A,골목상권,1000529,목동중앙서로7길,3158114,7,12656623783,3105952930,1530681727,882423832,1524657103,2135648578,462716520,364415108,2116112753,534015232
2020,2,A,골목상권,1000528,목동중앙북로8길,3618739,7,9039608706,2266589157,1098874138,660677993,1145642318,1560282233,338133431,263714209,1318366403,387328824
2020,2,A,골목상권,1000527,목동중앙북로16길,3135293,7,9823833897,2417279743,1184742623,694819068,1203592938,1686203675,363382642,284143915,1578928417,410740876
2020,2,A,골목상권,1000526,목동중앙본로7길,2860393,6,11953122131,2913955460,1455131537,834932489,1443209090,2033371249,449870378,340427200,1975329814,506894914
2020,2,A,골목상권,1000525,목동중앙로3길,3574480,7,10820710123,2617283458,1311789725,732053468,1275092543,1797625709,401076085,304243735,1925424579,456120821
2020,2,A,골목상권,1000524,목동중앙로13나길,3275074,7,2973664241,701824157,360712895,209508040,349185168,520762626,111923375,83334719,510778508,125634753
2020,2,A,골목상권,1000523,목동중앙남로3가길,2781973,6,11114307381,2740599854,1347912981,779455285,1354011920,1885214321,412788414,320305956,1804984086,469034564
2020,2,A,골목상권,1000522,목동로9길,3591332,7,8709374540,2164345821,1042992088,601856890,1064505524,1461002392,322221928,249911295,1441440402,361098200
2020,2,A,골목상권,1000521,목동로19길,2935585,6,8023845818,1998813967,974967237,579514754,993033951,1360705932,319696935,233570336,1231301842,332240864
2020,2,A,골목상권,1000520,목동동로8길,5152321,9,6087068447,1438810875,727137217,409093956,710558478,1058611514,201773744,166862252,1108684362,265536049
2020,2,A,골목상권,1000519,목동동로12길,5354972,9,10420226318,2478876160,1271480268,725623297,1231978314,1770330050,418488306,291834234,1797615180,434000509
2020,2,A,골목상권,1000518,목동남로4길,3643911,7,5151027140,1552829647,585921790,345836748,753842551,703803376,163114851,155743251,682728718,207206208
2020,2,A,골목상권,1000517,남부순환로88길,3394689,7,4004198309,1113915905,470514363,255907896,527210521,598514524,129291491,117604438,624458544,166780627
2020,2,A,골목상권,1000516,남부순환로79길,2978776,6,6105406393,1553849088,758304587,435515582,773040909,1007171993,264902637,173801671,883711777,255108149
2020,2,A,골목상권,1000515,남부순환로70길,2409856,5,7817088279,2228502671,924164149,536794488,1101522140,1188279900,286835636,235536718,1002347286,313105291
2020,2,A,골목상권,1000514,남부순환로58길,2234216,5,6552341101,1934422936,772809362,464446768,966401715,971389239,245662513,204373884,732844412,259990272
2020,2,A,골목상권,1000513,남부순환로40길,2155374,5,6179054191,1926441487,706544356,433142008,955057499,850486754,210140599,197433113,660018436,239789939
2020,2,A,골목상권,1000512,남부순환로33길,2359412,5,9974926363,2570442699,1212154492,728629622,1295087207,1669019749,396830625,293468160,1396475860,412817949
2020,2,A,골목상권,1000511,곰달래로5길,2206030,5,10819343100,2998830228,1290126359,773216249,1507080555,1710262938,405252253,327665034,1365792815,441116669
2020,2,A,골목상권,1000510,곰달래로3길,2252672,5,10379908633,2859342361,1244422982,740102777,1440046962,1661308557,387663249,314246028,1305030184,427745533
2020,2,A,골목상권,1000509,곰달래로2길,2342204,5,8028270979,2192500619,964525668,570100107,1098850489,1285867144,307266649,241610005,1039304085,328246213
2020,2,A,골목상권,1000508,곰달래로10길,2392516,5,11435821428,2923123081,1396900203,848677738,1474185270,1924130054,472499660,337247572,1586750067,472307783
2020,2,A,골목상권,1000507,가로공원로58길,2078238,5,4108877737,1360316621,457127540,284549388,671297474,519168255,129911602,135351666,396454795,154700396
2020,2,A,골목상권,1000506,효창원로93길,3093083,7,10065756064,2819487097,1193199815,721042197,1358538070,1534996927,341508850,318894913,1357671301,420416894
2020,2,A,골목상권,1000505,토정로37길,4910763,9,8208486551,2006220191,993883397,608090680,1005624570,1422300876,314994005,241951446,1270404381,345017005
